sale_id,customer_id,product_id,store_id,quantity,sale_date,total_amount
R2_1,4380,19,16,5,2023-04-07,1442.0500000000002
R2_2,9548,475,63,1,2024-01-02,295.97
R2_3,4685,239,14,4,2023-03-04,1922.64
R2_4,1266,500,92,9,2024-10-22,3762.9
R2_5,7128,302,15,6,2024-07-21,2075.46
R2_6,8853,269,65,1,2024-09-03,277.13
R2_7,8452,322,100,8,2024-10-27,3262.16
R2_8,111,40,17,8,2023-06-03,1666.56
R2_9,1339,18,91,2,2024-02-28,546.16
R2_10,4459,28,51,8,2023-06-17,2920.0
R2_11,8382,357,64,10,2024-09-22,2955.1
R2_12,669,376,96,6,2024-05-17,1142.82
R2_13,5332,227,31,9,2024-05-07,3675.06
R2_14,7284,33,64,2,2023-06-21,708.82
R2_15,6019,9,84,3,2024-03-17,569.25
R2_16,1340,8,4,7,2023-09-12,3444.49
R2_17,8981,107,20,4,2023-04-12,549.68
R2_18,9452,334,42,8,2024-09-04,2586.64
R2_19,4520,315,76,10,2024-08-10,3385.5
R2_20,8897,480,45,4,2023-04-11,1007.96
R2_21,7714,306,69,3,2023-03-14,705.21
R2_22,6658,206,7,3,2024-06-04,1055.52
R2_23,7597,479,30,8,2024-09-04,833.76
R2_24,2855,284,11,2,2023-04-08,956.28
R2_25,4329,410,29,10,2024-11-06,1073.7
R2_26,870,222,40,3,2023-08-06,1021.47
R2_27,8794,46,62,6,2023-07-14,717.24
R2_28,3697,401,67,9,2023-06-08,3737.88
R2_29,4605,445,87,8,2023-06-17,3025.2
R2_30,4433,274,50,6,2023-07-16,1703.58
R2_31,50,291,28,9,2024-02-07,3708.81
R2_32,5181,295,1,2,2025-01-18,977.88
R2_33,4847,323,65,4,2023-04-01,1114.84
R2_34,8262,107,38,8,2023-09-27,1099.36
R2_35,9389,328,55,7,2024-12-16,892.5
R2_36,2300,435,66,10,2024-09-27,1371.1000000000001
R2_37,8954,493,60,4,2024-08-21,174.16
R2_38,7903,26,27,2,2024-09-05,154.32
R2_39,2876,127,32,9,2025-01-01,3782.88
R2_40,236,37,20,1,2024-02-04,389.84
R2_41,7028,175,40,2,2023-05-07,923.52
R2_42,7548,158,42,2,2023-05-30,947.06
R2_43,2010,410,94,7,2023-11-28,751.59
R2_44,3773,408,27,3,2024-03-15,96.96000000000001
R2_45,2077,280,38,6,2023-07-16,583.86
R2_46,246,422,15,6,2023-05-23,2740.2599999999998
R2_47,7559,316,90,9,2025-01-13,3515.13
R2_48,6211,426,68,5,2023-08-24,1262.0
R2_49,824,254,53,5,2023-10-23,2013.0
R2_50,8077,394,52,4,2025-02-18,103.04
R2_51,6798,303,54,6,2024-03-05,1906.92
R2_52,2341,59,18,4,2024-05-19,1801.08
R2_53,9165,188,70,4,2024-07-12,1821.0
